Name,Moran's I,UMI Count,Spots
RPL41,0.4307776458436561,176.5538915235262,3521
RPS19,0.5555542250792879,157.0260051978153,3522
RPL13,0.4758600073519563,124.59931547895852,3522
RPL17,0.6344395023204803,124.32526267677166,3521
MT-CO2,0.5975727874213499,123.86923086623631,3519
RPLP1,0.39500467649321724,111.32410329421468,3521
RPS15A,0.5631654339602534,111.2385474991823,3521
TFF1,0.6134091395958619,109.4448683021514,3521
RPL37A,0.4031938375145401,95.28492819930153,3518
MT-CO3,0.6263914404350993,93.04370820356196,3517
RPS3,0.4312972593317372,91.85352886939351,3521
RPL30,0.24781337617345225,89.18346101144078,3522
TFF3,0.7783852805850098,88.07371352739197,3520
RPL32,0.382511883443954,87.98877587117889,3521
RPL35A,0.3100654678096978,80.22518781119291,3520
RPL28,0.40626546001131575,78.7817947336684,3522
EEF1A1,0.5784641097800597,78.4869506138464,3519
RPS29,0.41003148731017053,77.70725800196982,3520
RPL34,0.36874850332247583,76.22383179148326,3520
RPL37,0.3309690000323626,76.2011324113047,3519
RPL12,0.4923837435149806,72.98355534153586,3520
RPS24,0.28611820808910143,72.18325192655324,3516
RPS18,0.5592320287176491,68.48075039479077,3520
TPT1,0.4751879004493378,67.36532914265082,3519
RPS12,0.46281010046279086,67.28280150623456,3518
RPS8,0.2422889918025616,66.77696590703387,3519
RPS2,0.4251414626946207,66.62117445730107,3521
RPL10,0.30240439057026175,65.11015376939866,3521
RPS21,0.3236496551214248,63.709920532717305,3518
GAPDH,0.4184530050101473,63.644823520203644,3520
RPS3A,0.3092550105001336,63.334601508619535,3518
RPS27,0.46262289556118885,63.084100706906305,3517
MT-CO1,0.6020882415792248,61.94535452695789,3511
RPL36A,0.2953649215963288,60.83244568131595,3518
RPS27A,0.3868406818450215,59.98152099498114,3519
RPS15,0.31333365680438036,59.89166231634037,3519
RPS7,0.26604840732664714,55.35551994776597,3520
RPL8,0.3243573973669553,54.328403515127725,3517
KRT8,0.4143108692997769,54.32825912138237,3519
RPL39,0.40140069688209506,54.0784323409616,3518
RPL35,0.44213341339200724,53.18373979997375,3518
RPL7A,0.37804083517908876,52.27908643052448,3519
RPL13A,0.3513169231547602,52.1970486934281,3517
RPL19,0.28484735399315386,49.845039265873176,3515
RPL18,0.16411247885017125,49.315096196048735,3516
RPS28,0.21288317458899148,49.23732086501726,3521
TMSB10,0.2504206714121468,48.97617734972115,3517
RPS10,0.2987050817522366,48.97178216749233,3521
RPS23,0.3837030759549132,46.82364812122496,3514
RPL18A,0.45922511944536715,46.518943133796256,3516
FTH1,0.31802830170166924,46.384255142823044,3520
RPS4X,0.41574034145785227,46.31199746556761,3518
MT-ND4,0.557079672767356,46.30526118565506,3509
RPL11,0.5496422884848059,46.05531706787153,3521
RPL4,0.5193486229582731,45.75143812130973,3516
RPS14,0.47569736125397455,44.69809419372143,3516
RPL15,0.2842724446977843,43.6610150253746,3517
RPL29,0.3849069998174429,43.51250081482953,3515
SERF2,0.4755766264672842,43.48005248636618,3520
FAU,0.47591079012666593,42.59080271824373,3519
KRT19,0.36419979908540545,42.42075857244679,3519
RPLP0,0.23808766736917902,42.312419709319464,3515
RPL26,0.49173500921265617,42.066496244108365,3510
RPL36,0.23951337605193382,39.80532230889483,3515
MT-ATP6,0.5730943399765598,38.777388475694636,3503
RPS25,0.42584170121931086,38.664886398143025,3509
MT-ND3,0.606384506372837,37.26837306087686,3485
MT-CYB,0.49161206768451443,37.199316804467564,3503
RPLP2,0.4187403157323051,37.19139318267919,3518
RPS6,0.35886794475572414,36.19036655556588,3510
RPS13,0.2474250701291956,35.29066460571111,3513
RPL6,0.31072899123853553,34.68226680832099,3509
RACK1,0.38070644327278746,33.83443371835673,3517
RPL22,0.42857590434405124,33.38030042157168,3516
KRT18,0.29383087667586566,33.095431290014474,3520
S100A11,0.21602728681858865,31.855694722724866,3509
RPL14,0.38603492970781544,31.800720578496865,3508
NME2,0.28432432704786925,31.581336956635706,3516
RPL21,0.32192534045689314,31.26602848597684,3509
RPS17,0.19976779625137114,30.933460191104402,3514
COX6C,0.3952422455015908,30.602092087868037,3510
ACTG1,0.21003042123186486,30.231187482880514,3517
RPSA,0.22928663756277518,29.589404334012247,3510
PTMA,0.26747048102042736,29.165292138896785,3512
UBA52,0.4639607312277863,29.136986254258254,3503
RPL31,0.18963141745518983,29.13123130276706,3511
PPIA,0.2261204487592396,28.887345452794,3508
GNAS,0.09341237643938834,28.860537036561265,3516
ATP5F1E,0.19511015673669804,28.648014948254808,3507
RPL5,0.21826900578127117,27.757669325762905,3514
RPS5,0.31866126797042144,27.619779469533537,3509
RPL3,0.210426807928433,27.347581559866626,3507
RPS11,0.12488967810144179,27.227505724657313,3508
MDK,0.36653769967380095,27.083188685860424,3515
RPL9,0.28057346859548904,26.958621692506583,3506
ATP5MF,0.31335062258052515,26.53886380482778,3516
RPL24,0.2242820404553987,25.802229359340878,3500
PABPC1,0.15588003404896666,25.566635438882688,3511
MIF,0.17789899133682566,25.481235979720783,3512
RPL10A,0.2946268913356459,24.947017066093526,3504
COX7C,0.19454206081590916,24.647179659027547,3504
UBB,0.32492069390859,24.49696941951273,3513
MYL6,0.1901364214931496,24.414535582348154,3515
MYL12B,0.2902322836864962,24.255396883744393,3500
RPS16,0.2545806057901455,23.910475726888517,3498
RPL38,0.3482438716764534,23.83606697649195,3493
COX4I1,0.16561127504590664,23.66321763336391,3505
CSTA,0.4099708174336535,23.495761242566097,3505
COX6A1,0.20940391887076587,23.254936269417936,3506
RPL23A,0.3339300089455487,22.515651920074347,3494
EEF1G,0.13289778047127074,22.399948810951578,3508
RPS20,0.5586020735681598,22.111810415912174,3483
RPL36AL,0.2742854163750926,21.3510342977743,3506
NACA,0.2192079981447561,21.26221130764419,3502
ACTB,0.22135194391813628,21.255961772649716,3502
PRDX2,0.2624034360378062,19.780930017270798,3507
EEF2,0.20516798753344256,19.426473584920345,3495
SNHG29,0.3876256518297104,19.327006842970636,3485
RPL27,0.32364332620116404,18.969940692256166,3490
TRIR,0.3914439100580448,18.657190316407842,3487
UQCRQ,0.17865357818028893,18.524640904898433,3505
HSPB1,0.34926917851981987,18.507150501593525,3482
HSBP1,0.21965580750373523,17.961316653179537,3497
GAS5,0.30587294582727553,17.841365260373355,3470
MT-ND1,0.47195125509141367,17.750905953752596,3452
RPL23,0.2733968752041034,17.36995337808528,3493
EIF4A1,0.1551352283724475,17.33568973799763,3503
XBP1,0.24580610996340496,17.288020859997715,3486
RPL27A,0.48030185616296217,17.10783350500552,3484
PFN1,0.22770114258299537,16.879812437539258,3487
TUBA1B,0.19189921558358392,16.569980717481627,3485
RPS26,0.1548184636613213,16.304846137988388,3486
RPL7,0.18833387381277197,15.728354550379583,3483
EIF1,0.3960057880844235,15.422317207223816,3484
PFDN5,0.19861356279399606,15.247532072676416,3494
H2AFZ,0.1946174640237666,15.196736953873316,3496
ATP5MG,0.21655471721427794,15.029946383445157,3480
HNRNPA2B1,0.17515043572855327,14.83806906059319,3495
RPS9,0.2297873750803553,14.69844486238929,3487
CFL1,0.18145024977665433,14.355687142257286,3478
TPI1,0.14827671750273747,14.351846548395859,3489
CST3,0.4528432984638056,14.223038338044413,3462
MZT2B,0.1315825553603852,14.20793948401495,3483
VMP1,0.4338328556651577,14.081638080461294,3482
ATP5ME,0.14037462801939476,14.011443557402325,3489
ATP5MC2,0.10020767688755834,13.784550107852638,3492
UBC,0.1050897589602639,13.694898755097348,3491
EEF1B2,0.22166445468689744,13.459051224022348,3477
YWHAZ,0.05657435338754774,13.186168142865817,3484
MLPH,0.43071074705439827,12.93748663113983,3436
KDELR2,0.16021972786186006,12.929370039500586,3480
HMGN1,0.21760768545987255,12.866310311578053,3459
HSP90AB1,0.15434736789905595,12.66505934672167,3466
TUBB4B,0.31215458211598585,12.492868338053839,3490
TMA7,0.13563428762521518,12.316737309361049,3474
SPINT2,0.2367409631825318,12.22878843905491,3447
ELOB,0.07789652438419516,12.140526063571325,3491
SELENOW,0.2245861062348619,12.134267301220678,3467
NPDC1,0.27333608154360034,11.967307476213445,3456
ATP5MPL,0.1842416275688664,11.942755973038832,3464
MRPS21,0.23239608358343214,11.856630529073044,3464
ROMO1,0.06052504452272693,11.852741933113807,3471
DYNLL1,0.23247112018398025,11.818797293242143,3440
FASN,0.2385564390918821,11.767418138932825,3454
CD9,0.306301202333412,11.609946621702033,3438
DSCAM-AS1,0.3142714750905561,11.574105240737323,3423
CD63,0.19977981669490122,11.53835707534797,3463
COX7A2,0.08171169213064798,11.531074733683235,3475
H3F3B,0.1415082733219813,11.314416132166226,3465
MUC1,0.3298250454007583,11.243013959735816,3470
H3F3A,0.22933308410011902,11.240772442315192,3444
UQCR11,0.08682358341884433,11.085373166765898,3467
EDF1,0.1351805988058998,11.040539397960828,3472
P4HB,0.12975008895940607,11.021446318520061,3454
CYBA,0.12802556080781297,10.982941870710913,3457
ATP5MD,0.13259810914826847,10.944138937082549,3451
SEM1,0.09934670604460626,10.885206095580305,3453
SLC39A6,0.2341010038720442,10.840060279619074,3430
COX6B1,0.09101011156493843,10.769557869088095,3469
COX5B,0.11733923335276639,10.756390019555536,3454
